Feature,Permutation_Importance,Gradient_Sensitivity
wall_substrate_u_not_applicable,0.28546511627906984,1.329101225864102
wall_substrate_u_masonry,0.17848837209302332,1.69719621596486
T,0.1534883720930233,1.2573126462030255
roof_shape_u_gable,0.13546511627906982,0.7253084719279249
retrofit_present_u_no,0.13255813953488377,0.40316721899932195
retrofit_present_u_yes,0.11627906976744191,0.39598726902754927
roof_shape_u_complex,0.08895348837209308,0.5426839158586784
retrofit_present_u_un,0.06744186046511631,0.7782338605784684
wall_thickness,0.0587209302325582,0.7763612027903138
wall_substrate_u_wooden_un,0.05697674418604659,1.5612249210760825
roof_shape_u_hip,0.051744186046511674,0.4245233646851449
number_stories,0.05116279069767449,0.5096675499323007
wall_length_side,0.043604651162790775,0.2594258597709599
roof_shape_u_flat,0.043604651162790775,0.36254318218355563
roof_slope_u,0.03488372093023262,0.41625518621210034
roof_shape_u_gable-hip_combo,0.03139534883720936,0.625914305902386
year_built_u,0.029651162790697728,0.5398139393468309
wall_length_front,0.029069767441860517,0.3099324242900634
wall_fenesteration_per_front,0.026162790697674465,0.27886017978402844
roof_shape_u_mansard,0.007558139534883735,0.5169346807116902
parapet_height_m,0.007558139534883735,0.5283420127998634
wall_substrate_u_wooden_panels,0.0063953488372093135,0.43221212237653595
wall_substrate_u_stone,0.004651162790697683,0.7110098201633982
roof_shape_u_dormer-gambrel_combo,0.004069767441860472,0.5030969642687374
wall_substrate_u_concrete,0.003488372093023262,0.49778061819452263
wall_substrate_u_un,0.0029069767441860517,0.42546035798600085
roof_shape_u_gable-saltbox_combo,0.0005813953488372104,1.065620341803432
wall_substrate_u_brick,0.0005813953488372104,0.46875014603022624
retrofit_present_u_nan,0.0,0.14332130710705504
roof_shape_u_gambrel,0.0,0.2245228292737074
wall_substrate_u_nan,0.0,0.3804927873918656
wall_substrate_u_wooden_plank,0.0,0.41327238095604335
roof_shape_u_nan,0.0,0.14575834422843303
wall_substrate_u_cmu,-0.0005813953488371882,0.24233524875461465
